Sun Jun 10 02:35:46 2018

   AbsTime(Us)      Delta            debugid                       arg1             arg2             arg3             arg4              thread         cpu#  command
       1668.2        2.8(2.8)        BSC_kdebug_typefilter         0                0                0                3f42              1597ee            2  go
       1675.3        7.1             BSC_stat64                    ffffffffc5db31ca 5fbfdbc8         1                5fbfdc70          1597ee            2  go
       1679.2        4.0(4.0)        BSC_stat64                    2                0                0                3f42              1597ee            2  go
       1680.8        1.6             BSC_stat64                    ffffffffc5db322a 5fbfdc60         1                5fbfdc70          1597ee            2  go
       1681.6        0.8(0.8)        BSC_stat64                    2                0                0                3f42              1597ee            2  go
       1710.8       29.2             BSC_csops                     3f42             7                5fbfd6f0         408               1597ee            2  go
       1712.7        1.9(1.9)        BSC_csops                     16               0                0                3f42              1597ee            2  go
       1714.1        1.4             BSC_sysctl                    5fbfdad0         4                5fbfd848         5fbfd840          1597ee            2  go
       1732.3       18.2(18.2)       BSC_sysctl                    0                0                0                3f42              1597ee            2  go
       1745.3       12.9             BSC_ulock_wake                1                5fbfdc70         0                5fbfd840          1597ee            2  go
       1745.8        0.5(0.5)        BSC_ulock_wake                2                0                0                3f42              1597ee            2  go
       1764.8       19.0             BSC_csops                     3f42             7                5fbfcfd0         408               1597ee            2  go
       1766.1        1.2(1.2)        BSC_csops                     16               0                0                3f42              1597ee            2  go
       1866.0       99.9             BSC_getuid                    0                0                0                0                 1597ee            2  go
       1866.3        0.3(0.3)        BSC_getuid                    0                0                0                3f42              1597ee            2  go
       2404.1      537.8             BSC_shm_open                  ffffffffc5d54de7 0                0                408               1597ee            2  go
       2413.2        9.2(9.2)        BSC_shm_open                  0                3                0                3f42              1597ee            2  go
       2414.0        0.8             BSC_mmap                      0                1000             1                1                 1597ee            2  go
       2421.8        7.8             BSC_mmap_extended_info        3                17ed000          1000             0                 1597ee            2  go
       2421.9        0.1             BSC_mmap_extended_info2       0                0                0                0                 1597ee            2  go
       2422.1        0.1(8.1)        BSC_mmap                      0                17ed000          0                3f42              1597ee            2  go
       2422.7        0.6             BSC_close_nocancel            3                1000             1                1                 1597ee            2  go
       2424.6        2.0(2.0)        BSC_close_nocancel            0                0                0                3f42              1597ee            2  go
       2617.8      193.2             BSC_open_nocancel             ffffffffc5c5b22a 0                0                1                 1597ee            3  go
       2632.0       14.2(14.2)       BSC_open_nocancel             2                0                0                3f42              1597ee            3  go
       2635.8        3.9             BSC_issetugid                 0                0                0                0                 1597ee            3  go
       2636.0        0.2(0.2)        BSC_issetugid                 0                0                0                3f42              1597ee            3  go
       2636.6        0.6             BSC_issetugid                 0                0                0                0                 1597ee            3  go
       2636.7        0.1(0.1)        BSC_issetugid                 0                0                0                3f42              1597ee            3  go
       3327.3      690.6             BSC_issetugid                 0                0                0                0                 1597ee            1  go
       3327.5        0.2(0.2)        BSC_issetugid                 0                0                0                3f42              1597ee            1  go


Number of microsecs since in last page   2321.3
   AbsTime(Us)      Delta            debugid                       arg1             arg2             arg3             arg4              thread         cpu#  command

       3330.3        2.7             BSC_open                      ffffffffb02dad1d 0                0                1                 1597ee            1  go
       3992.7      662.5(662.5)      BSC_open                      0                3                0                3f42              1597ee            2  go
       3994.8        2.0             BSC_open                      5fbfc970         0                0                1                 1597ee            2  go
       4171.8      177.0(177.0)      BSC_open                      0                4                0                3f42              1597ee            3  go
       4184.3       12.5             BSC_read                      4                5fbfd570         3f               1                 1597ee            1  go
      14346.8    10162.5(10162.5)    BSC_read                      0                3                0                3f42              1597ee            0  go
      14349.4        2.7             BSC_close                     4                5fbfd570         3f               1                 1597ee            0  go
      14367.1       17.7(17.7)       BSC_close                     0                0                0                3f42              1597ee            0  go
      14408.4       41.3             BSC_close                     3                5fbfd570         3f               1                 1597ee            0  go
      14420.9       12.5(12.5)       BSC_close                     0                0                0                3f42              1597ee            0  go
      14702.0      281.1             BSC_getuid                    0                0                0                0                 1597ee            0  go
      14702.3        0.3(0.3)        BSC_getuid                    0                0                0                3f42              1597ee            0  go
      14709.3        7.0             BSC_issetugid                 0                0                0                0                 1597ee            0  go
      14709.6        0.2(0.2)        BSC_issetugid                 0                0                0                3f42              1597ee            0  go
      14711.3        1.8             BSC_open                      ffffffffb02dad1d 0                0                1                 1597ee            0  go
      14752.6       41.3(41.3)       BSC_open                      0                3                0                3f42              1597ee            0  go
      14753.0        0.4             BSC_open                      5fbfc950         0                0                1                 1597ee            0  go
      14764.1       11.1(11.1)       BSC_open                      0                4                0                3f42              1597ee            0  go
      14764.4        0.3             BSC_read                      4                5fbfd550         3f               1                 1597ee            0  go
      14770.2        5.7(5.7)        BSC_read                      0                3                0                3f42              1597ee            0  go
      14770.5        0.3             BSC_close                     4                5fbfd550         3f               1                 1597ee            0  go
      14773.5        3.1(3.1)        BSC_close                     0                0                0                3f42              1597ee            0  go
      14776.1        2.5             BSC_close                     3                5fbfd550         3f               1                 1597ee            0  go
      14779.4        3.3(3.3)        BSC_close                     0                0                0                3f42              1597ee            0  go
      14950.8      171.4             BSC_sysctl                    5fbffb50         2                5fbffb44         5fbffb48          1597ee            0  go
      14958.1        7.3(7.3)        BSC_sysctl                    0                0                0                3f42              1597ee            0  go
      14958.4        0.4             BSC_sysctl                    5fbffb50         2                5fbffb44         5fbffb48          1597ee            0  go
      14960.2        1.7(1.7)        BSC_sysctl                    0                0                0                3f42              1597ee            0  go
      14960.5        0.3             BSC_sysctl                    5fbffb30         2                5fbffb38         5fbffb28          1597ee            0  go
      14962.0        1.5(1.5)        BSC_sysctl                    0                0                0                3f42              1597ee            0  go
      15054.9       92.9             BSC_mmap                      0                20002000         0                1002              1597ee            0  go
      16459.2     1404.3             BSC_mmap_extended_info        ffffffffffffffff 0                20002000         0                 1597ee            0  go
      16459.3        0.1             BSC_mmap_extended_info2       c0               84               0                0                 1597ee            0  go
      16459.5        0.2(1404.6)     BSC_mmap                      0                0                c0               3f42              1597ee            0  go
      16487.7       28.2             BSC_mmap                      0                40000            3                1002              1597ee            0  go
      16489.7        2.0             BSC_mmap_extended_info        ffffffffffffffff 1c00000          40000            0                 1597ee            0  go
      16489.7        0.1             BSC_mmap_extended_info2       0                0                0                0                 1597ee            0  go
      16489.8        0.1(2.2)        BSC_mmap                      0                1c00000          0                3f42              1597ee            0  go
      16583.9       94.1             BSC_mmap                      20000000         100000           3                1012              1597ee            1  go
      16591.9        7.9             BSC_mmap_extended_info        ffffffffffffffff 20000000         100000           0                 1597ee            1  go
      16592.0        0.1             BSC_mmap_extended_info2       c4               0                0                0                 1597ee            1  go
      16592.2        0.2(8.2)        BSC_mmap                      0                20000000         c4               3f42              1597ee            1  go
      16592.7        0.6             BSC_mmap                      1fff8000         8000             3                1012              1597ee            1  go
      16595.8        3.1             BSC_mmap_extended_info        ffffffffffffffff 1fff8000         8000             0                 1597ee            1  go
      16595.9        0.1             BSC_mmap_extended_info2       c4               0                0                0                 1597ee            1  go
      16596.1        0.2(3.4)        BSC_mmap                      0                1fff8000         c4               3f42              1597ee            1  go
      16596.5        0.4             BSC_mmap                      0                1000             3                1012              1597ee            1  go
      16601.3        4.8             BSC_mmap_extended_info        ffffffffffffffff 0                1000             0                 1597ee            1  go
      16601.4        0.1             BSC_mmap_extended_info2       c0               0                0                0                 1597ee            1  go
      16601.5        0.1(5.0)        BSC_mmap                      0                0                c0               3f42              1597ee            1  go
      16618.8       17.3             BSC_mmap                      0                10000            3                1002              1597ee            0  go
      16621.8        3.0             BSC_mmap_extended_info        ffffffffffffffff 17ee000          10000            0                 1597ee            0  go
      16621.9        0.1             BSC_mmap_extended_info2       0                0                0                0                 1597ee            0  go
      16622.1        0.2(3.2)        BSC_mmap                      0                17ee000          0                3f42              1597ee            0  go
